,full_name,forks_count,open_issues_count,watchers_count,star_count
545,EdjoLabs/image-match,-1.5853904309737077,-2.565671984652582,-0.9204074517439047,-0.9204074517439047
546,prompt-toolkit/pyvim,-1.7169914678218994,-2.3676654998801014,-0.9210984936301467,-0.9210984936301467
547,xflux-gui/fluxgui,-1.708917784579679,-2.75729116346466,-0.9212712541017073,-0.9212712541017073
548,jsvine/markovify,-1.6314104254543638,-2.763678469425063,-0.9221350564595099,-0.9221350564595099
549,feeluown/FeelUOwn,-1.5103051768210585,-2.776453081345868,-0.9226533378741913,-0.9226533378741913
550,not-kennethreitz/envoy,-1.6144556906457008,-2.7381292455834525,-0.9231716192888729,-0.9231716192888729
551,jinfagang/weibo_terminater,-1.4473304475317397,-2.7700657753854654,-0.9238626611751151,-0.9238626611751151
552,taxigps/xbmc-addons-chinese,-1.458633604070848,-2.635932350217011,-0.9248992240044781,-0.9248992240044781
553,pixie-lang/pixie,-1.733946202630562,-2.4762497012069455,-0.9262813077769623,-0.9262813077769623
554,StevenBlack/hosts,-0.817583154638552,-2.4187639475633222,1.149435758022633,1.149435758022633
555,celery/celery,1.039363991072129,-0.41314987599690534,1.1347511179399892,1.1347511179399892
556,psf/black,-1.2204599484253478,-1.0710423899183732,1.1098736100352748,1.1098736100352748
557,binux/pyspider,0.9222955840599341,-1.1987885091264254,1.1043452749453384,1.1043452749453384
558,wangshub/wechat_jump_game,1.9202028327983698,-2.635932350217011,1.0950162094810707,1.0950162094810707
559,machinelearningmindset/TensorFlow-Course,0.40880932985471957,-2.8147769171082837,1.0849961021305607,1.0849961021305607
560,sebastianruder/NLP-progress,0.05841147714235625,-2.6550942680982184,1.032476918776164,1.032476918776164
561,bitcoinbook/bitcoinbook,1.1798460794867633,-2.310179746236478,0.9169001633021789,0.9169001633021789
562,wangzheng0822/algo,1.3219429045498414,-2.3485035819988935,0.9144815167003317,0.9144815167003317
563,tqdm/tqdm,-1.3044262541444394,-1.4159569117801138,0.8901222902102991,0.8901222902102991
564,spotify/luigi,-0.16361481201870345,-2.4315385594841277,0.8816570271038338,0.8816570271038338
565,bokeh/bokeh,0.7269124495982014,0.21280610812254963,0.8597164472156483,0.8597164472156483
566,zhaoolee/ChromeAppHeroes,-0.8740989373340945,-2.7892276932666733,0.8436497233605204,0.8436497233605204
567,jwilder/nginx-proxy,-0.044931668358064274,0.864311316083615,0.7911305400061236,0.7911305400061236
568,kon9chunkit/GitHub-Chinese-Top-Charts,-0.564069500832833,-2.597608514454595,0.7672895949307724,0.7672895949307724
